slice_kind,slice,method,n_obs,mean_emd,median_emd,n_mol
rank,1,pca_full_dispatch,20,3.4306716171365876e-09,1.241763432820638e-09,
rank,2,pca_full_dispatch,20,3.755783382614099e-09,2.9802322387695314e-09,
rank,3,pca_full_dispatch,99960,8.422456372257108e-09,8.188327836115446e-09,
pointgroup,C1,pca_full_dispatch,1119020,8.801254235432927e-09,8.607879920973709e-09,111902
pointgroup,Cs,pca_full_dispatch,178080,8.823743223271976e-09,8.539551573706228e-09,17808
pointgroup,C2,pca_full_dispatch,4700,8.506442569316725e-09,8.319156806095196e-09,470
pointgroup,C2v,pca_full_dispatch,4420,8.416379800204464e-09,8.222113479623748e-09,442
pointgroup,C3v,pca_full_dispatch,650,8.16750611810258e-09,8.118960823518787e-09,65
pointgroup,C2h,pca_full_dispatch,490,8.697748934696617e-09,8.094786432925217e-09,49
pointgroup,D3h,pca_full_dispatch,160,7.961810703887753e-09,8.285337859033696e-09,16
pointgroup,Ci,pca_full_dispatch,150,9.533521693520523e-09,9.652498580470206e-09,15
pointgroup,C3,pca_full_dispatch,110,8.014494927514056e-09,7.2527457402664695e-09,11
pointgroup,D2d,pca_full_dispatch,110,7.099110144630844e-09,6.959580076984862e-09,11
pointgroup,Dinfh,pca_full_dispatch,80,7.499016907607163e-09,7.26796380616319e-09,8
pointgroup,Cinfv,pca_full_dispatch,80,9.735410408146097e-09,1.0244705795176358e-08,8
pointgroup,D2h,pca_full_dispatch,60,5.669104811155125e-09,5.587935447692871e-09,6
pointgroup,Td,pca_full_dispatch,50,6.857169543630858e-09,6.560792431204043e-09,5
pointgroup,D3d,pca_full_dispatch,40,8.981559848997831e-09,9.079372238179214e-09,4
pointgroup,C3h,pca_full_dispatch,40,1.2063689058795166e-08,1.1955246366823515e-08,4
pointgroup,D3,pca_full_dispatch,20,9.207875381837566e-09,8.737577933859232e-09,2
pointgroup,D6h,pca_full_dispatch,10,5.524019570926647e-09,5.2242313588491925e-09,1
pointgroup,C4,pca_full_dispatch,10,8.735711674506155e-09,8.302008325581528e-09,1
pointgroup,D2,pca_full_dispatch,10,5.877828073893495e-09,5.155367689144553e-09,1
pointgroup,S4,pca_full_dispatch,10,7.178748420434218e-09,7.491451016120313e-09,1
pointgroup,Oh,pca_full_dispatch,10,5.110172339257674e-09,5.155367689144553e-09,1
regime_count,R0,pca_full_dispatch,0,,,
regime_count,DISTINCT,pca_full_dispatch,128760,,,
regime_count,AXIAL,pca_full_dispatch,2063,,,
regime_count,TRIPLE,pca_full_dispatch,8,,,
boundary_mol_count,,pca_full_dispatch,0,,,130831
