method,dataset,point_group,sigma,n_total,n_crashed,n_valid,crash_rate,mean_emd,median_emd,mean_theta_deg,median_theta_deg,flip_rate,n_molecules
asun,qm-sym,C2h,0.0,120.0,0.0,120.0,0.0,1.2876735529678645,1.4913788458681387e-13,22.225284820581546,0.0,0.31666666666666665,8
asun,qm-sym,C2h,0.0001,120.0,0.0,120.0,0.0,1.1520466372362164,0.01978930679733007,19.354737319759924,0.40929668258203245,0.275,8
asun,qm-sym,C2h,0.001,120.0,0.0,120.0,0.0,1.5375049634903102,0.3800918893167682,27.20981674974509,5.702126775301115,0.5416666666666666,8
asun,qm-sym,C2h,0.003,120.0,0.0,120.0,0.0,2.045926286887616,1.9957928324501375,37.288185270607485,15.44977653824153,0.6666666666666666,8
asun,qm-sym,C2h,0.01,120.0,0.0,120.0,0.0,3.7670026813690525,4.241625581803721,55.04633488844992,54.78185610350769,0.8416666666666667,8
asun,qm-sym,C2h,0.03,120.0,0.0,120.0,0.0,4.251428629961223,4.5500969572545715,62.30873146369366,59.41685089920971,0.9166666666666666,8
asun,qm-sym,C2h,0.1,120.0,0.0,120.0,0.0,4.379420867050226,4.722228476357159,69.56255843319973,70.82934245346254,0.975,8
asun,qm-sym,C3h,0.0,75.0,0.0,75.0,0.0,0.2216321343655666,8.662110089745603e-07,1.0387284839376922,7.824964720612764e-06,0.06666666666666667,5
asun,qm-sym,C3h,0.0001,75.0,0.0,75.0,0.0,0.040152120106878124,0.005091525902382582,0.3469602792170825,0.08816625813293431,0.013333333333333334,5
asun,qm-sym,C3h,0.001,75.0,0.0,75.0,0.0,0.17600335353511035,0.04258265648327632,2.3071504336084505,0.7536067581257414,0.17333333333333334,5
asun,qm-sym,C3h,0.003,75.0,0.0,75.0,0.0,0.7389701227465603,0.15270492535214863,6.770272389945074,2.644651224561689,0.41333333333333333,5
asun,qm-sym,C3h,0.01,75.0,0.0,75.0,0.0,1.1551792243037173,0.45361289082186396,17.05342248754729,7.767455838623197,0.56,5
asun,qm-sym,C3h,0.03,75.0,0.0,75.0,0.0,1.9484833038754998,1.67803622102419,29.281886970787763,22.553998372347984,0.8533333333333334,5
asun,qm-sym,C3h,0.1,75.0,0.0,75.0,0.0,2.6823052484468093,2.8305977704499448,41.063935341625935,32.249329764385045,0.96,5
asun,qm-sym,C4h,0.0,30.0,0.0,30.0,0.0,0.7901312218491997,3.013517607473899e-13,4.357755500027085,1.4574827811144605e-06,0.43333333333333335,2
asun,qm-sym,C4h,0.0001,30.0,0.0,30.0,0.0,0.9370472344885985,0.9670881445807525,5.44767674251634,5.948546282580177,0.5,2
asun,qm-sym,C4h,0.001,30.0,0.0,30.0,0.0,1.439060097110246,1.8287025432282848,11.950362682671214,10.429762775823484,0.9333333333333333,2
asun,qm-sym,C4h,0.003,30.0,0.0,30.0,0.0,1.7751159417961604,2.0214923399284834,19.827687998813126,17.23851729802763,0.8333333333333334,2
asun,qm-sym,C4h,0.01,30.0,0.0,30.0,0.0,2.145349971726564,2.111518251122054,24.993130248304762,23.746133425375746,0.8333333333333334,2
asun,qm-sym,C4h,0.03,30.0,0.0,30.0,0.0,2.2381456041944303,2.2418984749399167,26.1283435280234,25.335558308616307,0.8666666666666667,2
asun,qm-sym,C4h,0.1,30.0,0.0,30.0,0.0,2.4959781595182293,2.4464746650177602,30.000530062766423,28.147955230713656,0.9666666666666667,2
asun,qm9,C*v,0.0,15.0,0.0,15.0,0.0,1.6779096076185093e-15,1.3837329828312699e-15,101.21743078642821,90.0,0.8666666666666667,1
asun,qm9,C*v,0.0001,15.0,0.0,15.0,0.0,0.0016731347583018377,0.0016868690143822707,82.565713773507,90.00001541862264,0.8666666666666667,1
asun,qm9,C*v,0.001,15.0,0.0,15.0,0.0,0.016753375263945172,0.017178500105764764,83.58488421826513,90.00081457364408,0.9333333333333333,1
asun,qm9,C*v,0.003,15.0,0.0,15.0,0.0,0.05042982896448264,0.053717794144170924,109.90839063505003,90.07200160469597,1.0,1
asun,qm9,C*v,0.01,15.0,0.0,15.0,0.0,0.17085602374965897,0.16648912210447206,97.20856885603395,90.26373550464429,1.0,1
asun,qm9,C*v,0.03,15.0,0.0,15.0,0.0,0.5489971071308481,0.44551302144513816,101.65331463447302,90.06957198196766,1.0,1
asun,qm9,C*v,0.1,15.0,0.0,15.0,0.0,1.3921544302790965,1.3198211008521135,108.4928355689577,104.92380349939883,1.0,1
asun,qm9,C1,0.0,120.0,0.0,120.0,0.0,1.1183000581547554e-15,9.92368405740465e-16,5.530891787128537e-07,0.0,0.0,8
asun,qm9,C1,0.0001,120.0,0.0,120.0,0.0,0.0006043850339475491,0.00045957331381332354,0.019093957786414702,0.013064079780764005,0.0,8
asun,qm9,C1,0.001,120.0,0.0,120.0,0.0,0.006040815172375257,0.004597678626209264,0.19082668854836396,0.13079964103549105,0.0,8
asun,qm9,C1,0.003,120.0,0.0,120.0,0.0,0.030171014346481055,0.013805894946606168,1.3165334882056863,0.39229961839460914,0.008333333333333333,8
asun,qm9,C1,0.01,120.0,0.0,120.0,0.0,0.1608269308623721,0.04682312873490495,6.00278899849574,1.3178978693827839,0.11666666666666667,8
asun,qm9,C1,0.03,120.0,0.0,120.0,0.0,0.4965625550642966,0.16510856266517676,15.796857636900482,4.575500329817668,0.48333333333333334,8
asun,qm9,C1,0.1,120.0,0.0,120.0,0.0,1.0806131582400256,0.9121620390984788,25.227653553599186,20.390750801490537,0.9666666666666667,8
asun,qm9,C2,0.0,120.0,0.0,120.0,0.0,0.21632111403484514,0.00013268188573566325,5.999915027752083,0.00397912893203967,0.19166666666666668,8
asun,qm9,C2,0.0001,120.0,0.0,120.0,0.0,0.21654898152428312,0.0004512538404692516,6.006681825074155,0.012362193530609904,0.19166666666666668,8
asun,qm9,C2,0.001,120.0,0.0,120.0,0.0,0.2007679775711155,0.0038316479669789063,4.292145342376619,0.11371336414445096,0.19166666666666668,8
asun,qm9,C2,0.003,120.0,0.0,120.0,0.0,0.29003582596249283,0.012291953627693685,6.7265794347013435,0.3796539368269203,0.26666666666666666,8
asun,qm9,C2,0.01,120.0,0.0,120.0,0.0,0.33024375858779337,0.03904215450753093,6.20178555070521,1.193767766479907,0.3,8
asun,qm9,C2,0.03,120.0,0.0,120.0,0.0,0.46696797612289054,0.13492910502248973,11.199556498307285,4.126585985186534,0.4583333333333333,8
asun,qm9,C2,0.1,120.0,0.0,120.0,0.0,0.856823386020713,0.8811731889801618,19.797798317511184,13.54676902509976,0.9333333333333333,8
asun,qm9,C2h,0.0,30.0,0.0,30.0,0.0,1.0077589818420996,0.762741613826908,36.91243692712962,46.36574149868367,0.5666666666666667,2
asun,qm9,C2h,0.0001,30.0,0.0,30.0,0.0,1.2622922366385863,1.1826127944741773,43.62646262269971,49.1806142368757,0.6666666666666666,2
asun,qm9,C2h,0.001,30.0,0.0,30.0,0.0,1.2324331840801583,1.0259879682156952,46.962710511139726,49.10257982539319,0.7,2
asun,qm9,C2h,0.003,30.0,0.0,30.0,0.0,1.2344956689008677,1.4214494079179363,52.6530083901442,48.9189753845933,0.8,2
asun,qm9,C2h,0.01,30.0,0.0,30.0,0.0,1.260455978732635,1.3318304258286369,42.53918665277532,47.72851881002184,0.6666666666666666,2
asun,qm9,C2h,0.03,30.0,0.0,30.0,0.0,1.3091605619790119,1.0879590155016432,45.96700034109548,47.834934564377875,0.7333333333333333,2
asun,qm9,C2h,0.1,30.0,0.0,30.0,0.0,1.2554815211132297,0.9676183828358103,43.938892060673844,47.575439464076524,0.9,2
asun,qm9,C2v,0.0,120.0,0.0,120.0,0.0,0.16853349067393275,0.00016450929904378232,7.512249950612966,0.005738005150747216,0.08333333333333333,8
asun,qm9,C2v,0.0001,120.0,0.0,120.0,0.0,0.16891030701297308,0.0005744752667579003,7.52460013977402,0.01757849037341293,0.08333333333333333,8
asun,qm9,C2v,0.001,120.0,0.0,120.0,0.0,0.21814611453061558,0.00482842401709046,10.151993625660696,0.16168929016330205,0.11666666666666667,8
asun,qm9,C2v,0.003,120.0,0.0,120.0,0.0,0.3489338787972046,0.01788382306197965,16.709147438894725,0.6528835907976709,0.21666666666666667,8
asun,qm9,C2v,0.01,120.0,0.0,120.0,0.0,0.34229921693806276,0.058224046225693674,16.123905809178968,2.0897874397474077,0.25,8
asun,qm9,C2v,0.03,120.0,0.0,120.0,0.0,0.4470677083681002,0.18900232205585166,19.27315236168284,6.612836609182834,0.6083333333333333,8
asun,qm9,C2v,0.1,120.0,0.0,120.0,0.0,1.0107070998588121,0.7260127657848401,36.768831237642566,23.171209647211654,0.975,8
asun,qm9,C3,0.0,15.0,0.0,15.0,0.0,0.0015164018272899593,0.0019657788308210904,0.011225816924692409,0.008056740411645986,0.0,1
asun,qm9,C3,0.0001,15.0,0.0,15.0,0.0,0.0015827976757877653,0.0020040489832880127,0.013327582613312981,0.012536124220087042,0.0,1
asun,qm9,C3,0.001,15.0,0.0,15.0,0.0,0.0998006170549486,0.003203574085234425,1.2105285327354613,0.0650623333838801,0.06666666666666667,1
