method,dataset,point_group,molecule,sigma,n_total,n_crashed,n_valid,crash_rate,mean_emd,median_emd,mean_theta_deg,median_theta_deg,flip_rate
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_014009.xyz,0.0,15.0,0.0,15.0,0.0,1.6684832119784516e-13,1.642147658493151e-13,5.829931124457842e-07,0.0,0.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_014009.xyz,0.0001,15.0,0.0,15.0,0.0,0.03282866284108236,0.02976902522466181,0.37893760823065753,0.3435920044895928,0.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_014009.xyz,0.001,15.0,0.0,15.0,0.0,0.3125247185886671,0.28581926160164134,3.6087647346782314,3.2951028389023307,0.3333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_014009.xyz,0.003,15.0,0.0,15.0,0.0,1.641603849855655,1.3110496557403357,17.83000919583564,15.205798879077285,0.8666666666666667
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_014009.xyz,0.01,15.0,0.0,15.0,0.0,2.43510117040172,2.0473187293292407,32.31085394685378,23.870138214071233,0.7333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_014009.xyz,0.03,15.0,0.0,15.0,0.0,3.25195879150966,3.3099654562309198,43.83896903339511,47.795271430882366,0.8
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_014009.xyz,0.1,15.0,0.0,15.0,0.0,3.4051151902903904,2.843825942434835,41.22134790507864,51.77784113506542,0.8
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_016145.xyz,0.0,15.0,0.0,15.0,0.0,2.334008551799824e-13,2.4931818428112894e-13,0.0,0.0,0.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_016145.xyz,0.0001,15.0,0.0,15.0,0.0,0.07525311167206826,0.07021130794386506,1.126382872757367,1.0507695193657378,0.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_016145.xyz,0.001,15.0,0.0,15.0,0.0,1.1403017133187405,0.7735231374516353,14.080441005780319,11.59728039263256,0.9333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_016145.xyz,0.003,15.0,0.0,15.0,0.0,1.9516277094370926,2.177717256480362,35.425220427966174,30.703206942190608,0.8
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_016145.xyz,0.01,15.0,0.0,15.0,0.0,2.067725559829517,2.472161004542121,32.8856013374711,21.543201262593854,0.6666666666666666
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_016145.xyz,0.03,15.0,0.0,15.0,0.0,1.9451169336750325,2.048456783293184,33.035868088744614,22.070020495690606,0.6666666666666666
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_016145.xyz,0.1,15.0,0.0,15.0,0.0,2.416403969062079,2.115511942450216,53.688392994616805,54.187867778012354,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_028964.xyz,0.0,15.0,0.0,15.0,0.0,2.546171146489498,4.243618577482495,8.71400102559482,14.406311017776515,0.6
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_028964.xyz,0.0001,15.0,0.0,15.0,0.0,2.5463422024989915,4.243586035756364,8.72723567118726,14.40590369041779,0.6
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_028964.xyz,0.001,15.0,0.0,15.0,0.0,2.5478870359147225,4.243296206404046,8.741102933875133,14.402268637792721,0.6
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_028964.xyz,0.003,15.0,0.0,15.0,0.0,2.8333725091557866,4.243033895237741,9.736926344100103,14.394389918223752,0.6666666666666666
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_028964.xyz,0.01,15.0,0.0,15.0,0.0,2.952466499267163,4.241151180065071,16.138986227247496,14.326307993754064,0.7333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_028964.xyz,0.03,15.0,0.0,15.0,0.0,3.6823071821791613,4.082143109058983,33.9541774188087,37.83146407456409,0.9333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_1.tar_QM_sym_028964.xyz,0.1,15.0,0.0,15.0,0.0,3.763376575517232,4.103357648957427,44.19541434425647,48.89083490810462,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_043667.xyz,0.0,15.0,0.0,15.0,0.0,0.9244680285877496,2.40360860224859e-15,24.000000649676988,1.7075472925031877e-06,0.26666666666666666
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_043667.xyz,0.0001,15.0,0.0,15.0,0.0,0.9249158274575383,0.0006929423124858064,24.00588857221118,0.009815009402334514,0.26666666666666666
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_043667.xyz,0.001,15.0,0.0,15.0,0.0,1.1598070759483572,0.008059114772904833,30.056299603833754,0.1008193244098632,0.3333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_043667.xyz,0.003,15.0,0.0,15.0,0.0,2.190878024347961,3.4600470326707193,60.122264821965445,90.00005159609422,0.6666666666666666
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_043667.xyz,0.01,15.0,0.0,15.0,0.0,4.084984037604231,4.798967816753991,67.10882719197534,68.39995439632983,0.9333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_043667.xyz,0.03,15.0,0.0,15.0,0.0,4.150795173577692,4.693396902947865,76.62904353622112,79.5414295088119,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_043667.xyz,0.1,15.0,0.0,15.0,0.0,4.151511131418983,4.773378643018858,82.09089381082563,79.71311541544672,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_059885.xyz,0.0,15.0,0.0,15.0,0.0,2.1185015163525307,5.915530649689898e-15,37.08827582342015,0.0,0.4666666666666667
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_059885.xyz,0.0001,15.0,0.0,15.0,0.0,1.3779674446995398,0.000790492081424245,24.00541845695182,0.008464720212129401,0.26666666666666666
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_059885.xyz,0.001,15.0,0.0,15.0,0.0,1.0379864387072935,0.007896391992318825,18.064366212066634,0.0845471679245932,0.2
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_059885.xyz,0.003,15.0,0.0,15.0,0.0,1.732906838669731,0.024343535631150985,30.163088303716258,0.32739954540878624,0.3333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_059885.xyz,0.01,15.0,0.0,15.0,0.0,5.290920622472545,5.402138214001988,90.61137583256945,91.5221016492346,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_059885.xyz,0.03,15.0,0.0,15.0,0.0,5.256814191654865,5.418326515501886,92.38779785026364,94.31906527467454,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_059885.xyz,0.1,15.0,0.0,15.0,0.0,4.930978737948392,5.3225767325297015,103.32602100950811,95.1407715601519,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_064226.xyz,0.0,15.0,0.0,15.0,0.0,0.2187975238004709,6.269034794237024e-14,6.000000160989103,0.0,0.06666666666666667
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_064226.xyz,0.0001,15.0,0.0,15.0,0.0,0.020856044346349124,0.01823553069335101,0.5850012287812298,0.5117887143770562,0.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_064226.xyz,0.001,15.0,0.0,15.0,0.0,0.8352439541000203,0.20329354378979378,23.062466251958003,5.710713525982997,0.6
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_064226.xyz,0.003,15.0,0.0,15.0,0.0,1.5329334665665317,1.0857614853215214,42.7663508862016,30.950576042160407,0.8666666666666667
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_064226.xyz,0.01,15.0,0.0,15.0,0.0,4.317197963844167,4.153672687442183,61.53477205678992,56.268097312710076,0.9333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_064226.xyz,0.03,15.0,0.0,15.0,0.0,4.986449147145849,5.460303540209031,64.52685439387241,61.230012274494,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_2.tar_QM_sym_064226.xyz,0.1,15.0,0.0,15.0,0.0,4.976069515735019,5.131892706931429,66.54739183316899,74.29629485608876,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_067247.xyz,0.0,15.0,0.0,15.0,0.0,0.511920738213916,3.40296145070343e-15,12.000000321978206,0.0,0.13333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_067247.xyz,0.0001,15.0,0.0,15.0,0.0,0.2566678330463149,0.0007338692301665829,6.009034049708118,0.007889429898474045,0.06666666666666667
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_067247.xyz,0.001,15.0,0.0,15.0,0.0,1.2846329223652855,0.009231573459479754,30.065083403692096,0.12882874149394002,0.3333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_067247.xyz,0.003,15.0,0.0,15.0,0.0,1.2954641341321782,0.027738655723028523,30.2056066456473,0.38644183285263206,0.3333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_067247.xyz,0.01,15.0,0.0,15.0,0.0,4.062931474436748,4.9965239324696435,64.25812428711818,72.08171717452606,0.7333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_067247.xyz,0.03,15.0,0.0,15.0,0.0,5.242104974714367,5.945250033526566,79.02514397345067,78.32688606086154,0.9333333333333333
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_067247.xyz,0.1,15.0,0.0,15.0,0.0,5.519436886019252,5.876078889429387,84.25441308300988,82.64821254370052,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_076696.xyz,0.0,15.0,0.0,15.0,0.0,3.9815294702983492,3.98152947029835,90.0,90.0,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_076696.xyz,0.0001,15.0,0.0,15.0,0.0,3.9815419713278453,3.981547137542511,90.00000009825177,90.00000002877319,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_076696.xyz,0.001,15.0,0.0,15.0,0.0,3.981655848979393,3.9817064893573617,90.00000985207657,90.00000285801364,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_076696.xyz,0.003,15.0,0.0,15.0,0.0,3.188623762935994,3.9753301904024747,72.0560155394274,90.00002533671697,0.8
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_076696.xyz,0.01,15.0,0.0,15.0,0.0,4.924694123096327,4.24532904426719,75.52213822757406,79.08079667635127,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_076696.xyz,0.03,15.0,0.0,15.0,0.0,5.4958826452331575,5.161009959501659,75.0719974147931,69.85834647640287,1.0
asun,qm-sym,C2h,qmsym_QM_sym_xyz_3.tar_QM_sym_076696.xyz,0.1,15.0,0.0,15.0,0.0,5.872474930410456,6.422560387937711,81.17659248513344,78.08960038961696,1.0
asun,qm-sym,C3h,qmsym_QM_sym_xyz_3.tar_QM_sym_103865.xyz,0.0,15.0,0.0,15.0,0.0,0.23222418320216692,1.266585185450868e-06,1.202818722198739,1.3171378306389627e-05,0.06666666666666667
asun,qm-sym,C3h,qmsym_QM_sym_xyz_3.tar_QM_sym_103865.xyz,0.0001,15.0,0.0,15.0,0.0,0.02354880344217519,0.013431875533995214,0.38084698996439054,0.21727864449984638,0.0
asun,qm-sym,C3h,qmsym_QM_sym_xyz_3.tar_QM_sym_103865.xyz,0.001,15.0,0.0,15.0,0.0,0.23545017043986424,0.1282266749875367,3.811775077732341,2.074215678824275,0.3333333333333333
asun,qm-sym,C3h,qmsym_QM_sym_xyz_3.tar_QM_sym_103865.xyz,0.003,15.0,0.0,15.0,0.0,1.301600755603967,0.7032538685040486,10.5125960351121,11.398246661944844,0.6
asun,qm-sym,C3h,qmsym_QM_sym_xyz_3.tar_QM_sym_103865.xyz,0.01,15.0,0.0,15.0,0.0,1.535852265337795,0.865577749485117,25.659300829324017,13.984927407013723,0.6666666666666666
asun,qm-sym,C3h,qmsym_QM_sym_xyz_3.tar_QM_sym_103865.xyz,0.03,15.0,0.0,15.0,0.0,2.481232507959918,1.862699935418606,36.588042709367485,22.553998372347984,0.8666666666666667
asun,qm-sym,C3h,qmsym_QM_sym_xyz_3.tar_QM_sym_103865.xyz,0.1,15.0,0.0,15.0,0.0,2.7724672575711256,2.4834642205032074,30.557937305526757,26.887784666231216,1.0
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_115831.xyz,0.0,15.0,0.0,15.0,0.0,0.6138536846576962,2.5422379960927744e-06,2.876046767129741,2.6398040527968538e-05,0.13333333333333333
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_115831.xyz,0.0001,15.0,0.0,15.0,0.0,0.013557437282164509,0.012588894898351249,0.2106151648660496,0.19581574109574615,0.0
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_115831.xyz,0.001,15.0,0.0,15.0,0.0,0.10414348903500406,0.07389538417199816,1.6102654924894915,1.1464851039111132,0.0
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_115831.xyz,0.003,15.0,0.0,15.0,0.0,0.7258828285196054,0.38528731113526604,4.825074817803915,3.499682139379832,0.4
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_115831.xyz,0.01,15.0,0.0,15.0,0.0,1.3633398738664444,1.3040603157006012,20.579863124793878,19.41254551103654,0.7333333333333333
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_115831.xyz,0.03,15.0,0.0,15.0,0.0,2.7454346075321614,3.1756985756395224,46.44097692735046,37.381320575145104,0.9333333333333333
