dataset   pg    method       sigma  n_mol  crash_rate    mean_EMD  mean_theta_deg  flip_rate
--------------------------------------------------------------------------------------------
qm9       C1    asun        0.0000      8       0.000   1.118e-15       5.531e-07      0.000
qm9       C1    asun        0.0010      8       0.000   6.041e-03       1.908e-01      0.000
qm9       C1    asun        0.0100      8       0.000   1.608e-01       6.003e+00      0.117
qm9       C1    asun        0.1000      8       0.000   1.081e+00       2.523e+01      0.967
qm9       C1    pca         0.0000      8       0.000   1.526e-15       5.035e-07      0.000
qm9       C1    pca         0.0010      8       0.000   1.873e-03       3.441e-02      0.000
qm9       C1    pca         0.0100      8       0.000   1.873e-02       3.442e-01      0.000
qm9       C1    pca         0.1000      8       0.000   2.353e-01       4.519e+00      0.225
qm9       C1    ours        0.0000      8       0.000   1.526e-15       3.879e-07      0.000
qm9       C1    ours        0.0010      8       0.000   1.873e-03       3.441e-02      0.000
qm9       C1    ours        0.0100      8       0.000   6.068e-02       5.185e-01      0.025
qm9       C1    ours        0.1000      8       0.000   4.421e-01       4.823e+00      0.308
qm9       C1    ours_wwv    0.0000      8       0.000   2.730e-15       4.939e-07      0.000
qm9       C1    ours_wwv    0.0010      8       0.000   1.423e-02       5.750e-01      0.017
qm9       C1    ours_wwv    0.0100      8       0.000   1.887e-01       9.024e+00      0.200
qm9       C1    ours_wwv    0.1000      8       0.000   1.037e+00       2.798e+01      0.958

qm9       C2v   asun        0.0000      8       0.000   1.685e-01       7.512e+00      0.083
qm9       C2v   asun        0.0010      8       0.000   2.181e-01       1.015e+01      0.117
qm9       C2v   asun        0.0100      8       0.000   3.423e-01       1.612e+01      0.250
qm9       C2v   asun        0.1000      8       0.000   1.011e+00       3.677e+01      0.975
qm9       C2v   pca         0.0000      8       0.000   3.164e-15       4.846e-07      0.000
qm9       C2v   pca         0.0010      8       0.000   6.678e-02       1.719e+00      0.067
qm9       C2v   pca         0.0100      8       0.000   1.155e-01       3.399e+00      0.167
qm9       C2v   pca         0.1000      8       0.000   4.375e-01       1.200e+01      0.525
qm9       C2v   ours        0.0000      8       0.000   3.164e-15       3.693e-07      0.000
qm9       C2v   ours        0.0010      8       0.000   5.340e-03       1.786e-01      0.000
qm9       C2v   ours        0.0100      8       0.000   9.348e-02       1.947e+00      0.100
qm9       C2v   ours        0.1000      8       0.000   4.724e-01       9.376e+00      0.525
qm9       C2v   ours_wwv    0.0000      8       0.000   2.113e-15       3.867e-07      0.000
qm9       C2v   ours_wwv    0.0010      8       0.000   1.017e-02       3.850e-01      0.000
qm9       C2v   ours_wwv    0.0100      8       0.000   1.311e-01       5.371e+00      0.208
qm9       C2v   ours_wwv    0.1000      8       0.000   9.575e-01       3.064e+01      0.942

qm-sym    C2h   asun        0.0000      8       0.000   1.288e+00       2.223e+01      0.317
qm-sym    C2h   asun        0.0010      8       0.000   1.538e+00       2.721e+01      0.542
qm-sym    C2h   asun        0.0100      8       0.000   3.767e+00       5.505e+01      0.842
qm-sym    C2h   asun        0.1000      8       0.000   4.379e+00       6.956e+01      0.975
qm-sym    C2h   pca         0.0000      8       0.000   4.678e-01       1.609e+01      0.258
qm-sym    C2h   pca         0.0010      8       0.000   8.111e-01       2.428e+01      0.358
qm-sym    C2h   pca         0.0100      8       0.000   8.179e-01       2.435e+01      0.358
qm-sym    C2h   pca         0.1000      8       0.000   8.902e-01       2.603e+01      0.400
qm-sym    C2h   ours        0.0000      8       0.000   3.558e-15       4.881e-07      0.000
qm-sym    C2h   ours        0.0010      8       0.000   1.602e-03       1.465e-02      0.000
qm-sym    C2h   ours        0.0100      8       0.000   1.602e-02       1.466e-01      0.000
qm-sym    C2h   ours        0.1000      8       0.000   2.556e-01       2.375e+00      0.042
qm-sym    C2h   ours_wwv    0.0000      8       0.000   1.287e-13       3.985e-07      0.000
qm-sym    C2h   ours_wwv    0.0010      8       0.000   4.352e+00       6.620e+01      0.975
qm-sym    C2h   ours_wwv    0.0100      8       0.000   4.477e+00       6.905e+01      1.000
qm-sym    C2h   ours_wwv    0.1000      8       0.000   4.589e+00       6.702e+01      0.983

qm-sym    C3h   asun        0.0000      5       0.000   2.216e-01       1.039e+00      0.067
qm-sym    C3h   asun        0.0010      5       0.000   1.760e-01       2.307e+00      0.173
qm-sym    C3h   asun        0.0100      5       0.000   1.155e+00       1.705e+01      0.560
qm-sym    C3h   asun        0.1000      5       0.000   2.682e+00       4.106e+01      0.960
