qm9_idx,point_group
130195,Cs
68784,C1
7957,C1
25911,Cs
20168,Cs
12658,C1
53330,Cs
76489,C1
105074,C1
93662,C1
119575,C1
17728,C1
83781,C1
54455,C1
62453,C2
78618,C1
112047,C1
75138,C1
84379,C1
14708,C1
30106,C1
35403,C1
79113,C1
47028,C1
36025,C1
72110,C1
48884,C1
26194,C1
79319,C1
38894,Cs
72176,Cs
20997,Cs
5061,Cs
48170,C1
14894,C1
110140,C1
111341,C1
4846,C2
104283,Cs
128568,Cs
20196,Cs
112178,C1
21159,C1
83069,C1
72021,C1
22599,C1
72803,C1
55016,C1
119316,C1
57491,C1
55831,C1
97096,Cs
72634,C1
76013,Cs
128451,Cs
87991,C1
85671,C1
48301,C1
47280,C1
42400,C1
111336,C1
85169,C1
61498,C1
100203,C1
90005,C1
50574,C1
38172,C1
89815,C1
125238,C1
35092,C1
22415,C1
53319,C1
82200,C1
69645,C1
31365,Cs
112631,C1
99542,C1
45299,C1
89268,Cs
48265,C1
129466,Cs
84645,C1
104781,C1
32103,C1
100154,C1
110396,C1
34951,C1
5088,Cs
47961,C1
30855,C1
15745,C1
6314,C1
67190,Cs
56367,C1
40733,C1
22240,C1
90000,C1
52057,C1
126871,Cs
29238,C1
94498,C1
35074,C1
71363,C1
111227,C1
62438,C1
80612,C1
52938,C1
35117,Cs
103804,C1
85684,C1
45456,C1
109716,C1
24664,Cs
96247,Cs
13578,C1
66070,C1
95058,C1
97676,C1
103647,C1
20988,Cs
56188,C1
53348,C1
57781,C1
10864,Cs
57066,C1
42123,C2v
29694,Cs
38204,C1
83950,C1
38346,C1
18911,C1
101330,C1
35156,Cs
79882,C1
112904,C1
66638,C1
105476,C1
126876,C1
113308,C1
47723,Cs
111077,C1
25354,C1
115722,C1
33839,C1
28061,C1
84825,C1
96861,C1
91381,C1
18907,C1
108333,C1
83473,C1
45821,C1
87267,C1
72155,C1
21428,Cs
126155,Cs
108820,C1
76780,C1
6723,C1
43862,C1
60292,C1
42318,C1
62218,C1
81439,C1
124647,C1
6307,C1
114821,Cs
23835,C1
116475,C1
125337,Cs
124000,C1
16479,C1
71047,C1
5749,C1
17771,C1
11049,C1
113042,C1
11152,C1
106327,C1
3659,C1
44812,C1
71196,C1
6185,C1
91398,C1
73122,C1
63321,C1
13161,C1
57248,C1
81625,C1
16146,C1
50225,C1
99165,C1
95940,C1
33653,C1
8882,Cs
90540,Cs
118679,C1
18681,C1
126620,Cs
13943,C1
118247,C1
23956,Cs
105536,C1
45284,C1
59157,C1
38407,C1
39003,C1
32844,C1
16326,C1
23196,Cs
88605,C1
129472,Cs
92676,C1
43667,C1
5430,Cs
104023,C1
47176,C1
109146,C1
122699,C1
693,C1
90632,C1
12634,C1
106746,C1
26768,C1
70821,Cs
19461,C1
51242,C1
6087,C1
50469,C1
40610,C2
97672,C1
56287,C1
67983,C1
130475,Cs
3449,C1
101467,C1
16422,C1
103317,C1
67072,C1
9402,C1
74771,Cs
37686,Cs
51253,C1
50223,C1
55140,C1
97111,C1
1602,Cs
71654,C1
13532,C1
128347,C1
123043,Cs
79431,C1
17631,C1
47901,C1
109701,C1
126127,Cs
122458,C1
38333,C1
73140,C1
59989,C1
93786,C1
33371,C1
7647,C1
125944,Cs
31627,C1
67503,C1
52936,C1
31650,C1
14824,C1
100598,C1
97807,C1
50504,C1
1049,Cs
96042,C1
33486,C1
101047,C1
7604,Cs
50929,C1
59087,C1
7067,C1
107446,C1
109005,C1
64931,Cs
91258,C1
29614,Cs
127761,Cs
91932,C1
117404,C1
99333,C1
57011,C1
118738,C1
72426,C1
100644,C1
114786,C1
23400,C1
95466,C1
68984,C1
86183,C1
111767,C1
66412,Cs
97575,C1
99359,C1
63369,C1
46257,C1
115743,C1
76074,C1
39025,C1
117348,C1
54419,C1
86489,C1
24350,Cs
43249,C1
70458,Cs
55362,C1
83023,C1
100601,C1
61404,C1
54217,C1
12415,C1
104673,C1
6753,C1
107452,C1
28751,Cs
65420,C1
103038,C1
105570,C1
32057,Cs
45050,Cs
98220,C1
93621,C1
106471,C1
13895,C1
56050,C1
58963,C1
127243,C1
14466,C2h
62008,C1
70993,C1
66995,C1
73934,Cs
126240,C1
25299,C1
38071,C1
61250,C1
98803,C1
20074,C1
66996,C1
59705,C1
39962,C1
51447,C1
128804,Cs
125297,C1
124378,C1
78675,C1
19575,Cs
43003,C1
80781,C1
33647,C1
112335,C1
71912,C1
95836,C1
12704,C1
83398,C1
3243,C1
15759,C1
93502,C1
13770,C1
16252,C1
1630,C1
103786,C1
74877,C1
46389,C1
5937,C1
41527,C1
1273,C1
129385,Cs
126385,C1
12069,C1
17931,C1
57876,C1
46323,C1
34811,C1
120500,C1
106699,C1
42208,C1
104759,C1
49421,C1
21565,Cs
90626,C1
18547,Cs
126597,C1
37233,Cs
78568,C1
82065,C1
83138,C1
104044,C1
89264,C1
55580,C1
55896,C1
25107,C1
115823,C1
64243,C1
110664,C1
39617,C1
72918,C1
21604,C1
34740,C1
39623,Cs
109718,C1
20637,C1
64307,C1
46227,C1
68131,C1
21287,C1
55604,C1
63635,C1
94479,C1
129164,C1
114953,Cs
50765,C1
67213,C1
70392,C1
34116,C1
18010,C1
2955,C1
67944,C1
111397,C1
83900,C1
91330,C1
20451,C1
101552,C1
18875,Cs
15441,C1
14810,C1
52838,C1
103495,C1
59516,C1
6967,C1
473,C1
27516,C1
65472,C1
82198,C1
46186,C1
84984,C1
101155,C1
91022,C1
108187,C1
62269,C1
128606,Cs
30256,C1
87516,C1
6349,C1
12494,C1
121543,C1
108419,C1
19112,C1
1353,C1
8209,C1
25258,C1
115928,C1
49371,C1
12633,C1
63011,C1
20686,C1
70655,C1
3985,C1
79294,C1
34987,C1
30753,C1
97688,C1
125122,C1
78139,C1
49122,C1
31857,C1
92520,C1
37018,C1
63055,C1
107258,C1
34279,C1
118125,C1
129746,C1
79076,C1
24727,Cs
