slice_kind,slice,method,n_obs,mean_emd,median_emd,n_mol
rank,1,asun,20,1.5441009997306738e-07,1.5206900644005554e-07,
rank,1,pca_centered,20,4.932177859397294e-05,0.0,
rank,1,pca_svd,20,1.0300724764664968,1.0755532085895538,
rank,1,pca_noop,20,1.8980505509262187,1.8525602198134514,
rank,1,ours,20,2.8931833646227086e-09,6.20881716410319e-10,
rank,2,asun,20,7.663508715617247e-07,3.4514901753462546e-07,
rank,2,pca_centered,20,0.018269234230247094,4.31583721365314e-05,
rank,2,pca_svd,20,2.12735093779862,2.179432336241007,
rank,2,pca_noop,20,2.1050970741277966,2.0143138018311335,
rank,2,ours,20,3.928810486033426e-09,2.9802322387695314e-09,
rank,3,asun,99960,0.06082076479914273,3.3164951140748564e-07,
rank,3,pca_centered,99960,0.8274402704604465,0.9444962991401553,
rank,3,pca_svd,99960,2.058857144527486,1.638636554207872,
rank,3,pca_noop,99960,2.435197329975777,2.2131542147447836,
rank,3,ours,99960,8.439714725378166e-09,8.222113479623748e-09,
pointgroup,C1,asun,69860,0.01800826863968723,3.0619141055194096e-07,6986
pointgroup,C1,pca_centered,69860,0.880679851424584,0.9817730126281579,6986
pointgroup,C1,pca_svd,69860,2.0648860400147084,1.6697271992762883,6986
pointgroup,C1,pca_noop,69860,2.3974588273176436,2.194947950764641,6986
pointgroup,C1,ours,69860,8.429161032754073e-09,8.222113479623748e-09,6986
pointgroup,Cs,asun,26700,0.1600409757382392,4.20192139234683e-07,2670
pointgroup,Cs,pca_centered,26700,0.7208750862255671,0.846351342869329,2670
pointgroup,Cs,pca_svd,26700,2.03524461909301,1.559186545129006,2670
pointgroup,Cs,pca_noop,26700,2.514798632433559,2.247681685150492,2670
pointgroup,Cs,ours,26700,8.527959942609515e-09,8.27842288547092e-09,2670
pointgroup,C2v,asun,1500,0.11024512472180611,0.00010959615132487648,150
pointgroup,C2v,pca_centered,1500,0.5201557687588614,0.39359192146609223,150
